app_id,app_name,reviewId,userName,score,content,sentiment_label,contradiction_type,at
com.google.android.apps.labs.language.tailwind,Google NotebookLM,67435548-e185-418b-a2eb-f806229b10e4,Sourav Kumar,1,very nice,positive,positive_text_low_score,2026-02-04 06:32:59
com.google.android.apps.labs.language.tailwind,Google NotebookLM,8580518c-db13-4b65-a493-ba73245d5b95,Gulam Gous,1,good,positive,positive_text_low_score,2026-02-02 12:40:10
com.google.android.apps.labs.language.tailwind,Google NotebookLM,1acdd6ba-339e-4c0e-bbaf-5923fa7f393b,ultimate vision,2,"that's great you added all the abilities to create, although it's absolutely pointless when downloads of any of the creations fail every time. it's completely unusable.",positive,positive_text_low_score,2026-02-01 13:03:50
com.google.android.apps.labs.language.tailwind,Google NotebookLM,1d858a2c-97e9-4b03-bfdf-02dc321315a7,Tariq Masood,2,My notes not showing in the app but are showing perfectly on google chrome version. How to get this correct? please resolve this ASAP.,positive,positive_text_low_score,2026-01-31 21:56:20
com.google.android.apps.labs.language.tailwind,Google NotebookLM,f3b0de70-d8d4-45c3-8496-648a59f47061,Youssef,1,"The flashcards were perfect and you just had to ruin them, bring back the old model!",positive,positive_text_low_score,2026-01-30 10:38:07
com.google.android.apps.labs.language.tailwind,Google NotebookLM,1e8a9a61-8859-4cc2-8ffa-2d26d395cd42,Anthony MrGuru Feaster (Mrguru),2,nice but can't download my files what's the purpose they keep failing,positive,positive_text_low_score,2026-01-29 16:57:14
com.google.android.apps.labs.language.tailwind,Google NotebookLM,62f7aed4-9565-4954-b442-3faf0d0cbf38,Muhammad Salman,1,"Subject: Feature Request: Export Functionality Google Notebook LM Team, The app's development is impressive. I would like to request the addition of export options, specifically to Google Docs and Google Slides, to enhance workflow completion. Thank you for your consideration. Best regards, [Muhammad Salman]",positive,positive_text_low_score,2026-01-28 03:06:34
com.google.android.apps.labs.language.tailwind,Google NotebookLM,3aa97367-f2e4-4335-ab17-6f41c35940bb,"Shobha,gurnatha Badavanni",2,good,positive,positive_text_low_score,2026-01-27 04:43:45
com.google.android.apps.labs.language.tailwind,Google NotebookLM,10b31e27-f8ab-410e-8745-e20252b35ab5,Shri,1,i would rate it 4 star but it's so faulty it doesn't have an ai to give diagrams and table for my preparation it's doesn't have a perfect ai model to analyse the source i provided i am deleting this app if I didn't get such changes tho everything is good but I want it to generate diagram for what I asked and table which is help full for me . if you can ensure me you will do that I will definitely change my mind,positive,positive_text_low_score,2026-01-24 05:28:34
com.google.android.apps.labs.language.tailwind,Google NotebookLM,ead7ba0f-1c0d-405f-871b-2d063e8d357d,Gumnam Afsana,1,"Not really useful, summarizing with nuances is better in chatgpt",positive,positive_text_low_score,2026-01-23 11:19:32
com.google.android.apps.labs.language.tailwind,Google NotebookLM,c25d1e57-925d-4920-a8e1-011165cc786f,adefisan Sharon,2,"it's okay and helpful , I think you all should try this",positive,positive_text_low_score,2026-01-22 21:21:58
com.google.android.apps.labs.language.tailwind,Google NotebookLM,d5ee0079-5a4e-45cb-97fd-80845967da46,Ean 'OM' Lindblom,1,"Worse than the web app. Why remove features like adding files from my drive, on the phone app, where this feature is the most useful?",positive,positive_text_low_score,2026-01-20 02:41:00
com.google.android.apps.labs.language.tailwind,Google NotebookLM,697edcb7-c9e2-4cc8-8470-ad8e93aa404f,SAIFUL ISLAM,1,a good AI,positive,positive_text_low_score,2026-01-16 05:44:20
com.google.android.apps.labs.language.tailwind,Google NotebookLM,06fbe130-fca7-4eff-a54c-32525fd8f4ed,Wiseastor,4,"This is REVOLUTIONARY for Gemini. I hate the limit of 50 sources per noteboook considering how much the Paid users get, so I'd appreciate if those limits were increased in the free tier. I'm glad I'm able to use this. I hate that they run on PDFs, because Liquid Mode only works online. I can work with that, nonetheless. 🤣",negative,negative_text_high_score,2026-01-12 05:56:25
com.google.android.apps.labs.language.tailwind,Google NotebookLM,56bde9e3-9365-491e-82f6-4568e35ce33b,Raj Aalim,1,not good application,positive,positive_text_low_score,2026-01-11 05:46:57
ai.turbolearn,Turbo AI - Notetaker,30bbe5f4-de9f-4ea9-b5e7-81af0301b430,Hana Fathallah,2,The app idea is perfect and it's so useful but it's not free at all no matter how much I try to make a note or upload a pdf it asks for a subscription first if the app had a free version it was gonna be 1000% better so it can help much more students,positive,positive_text_low_score,2026-02-03 18:57:06
ai.turbolearn,Turbo AI - Notetaker,0a06cf66-90e0-4719-8cb8-7686e9a7fbed,Layla Ali,1,awesome,positive,positive_text_low_score,2026-02-03 17:35:47
ai.turbolearn,Turbo AI - Notetaker,2c52a39c-a234-4ea9-bb73-4a9aa82a3846,Osademe Favour,1,this app is amazing 😍🤩,positive,positive_text_low_score,2026-02-02 21:30:20
ai.turbolearn,Turbo AI - Notetaker,7842ee02-7a8c-4811-a5c3-dc9958e6ace2,Fatima Siddiqui,2,it's smh good,positive,positive_text_low_score,2026-02-01 10:27:40
ai.turbolearn,Turbo AI - Notetaker,259edea9-07ff-4a9c-9ab4-d6d68706dfde,Rose Mary,2,really good and reliable,positive,positive_text_low_score,2026-02-01 10:18:57
